priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason,row_number,phone_digits,normalized_phone,phone_type,audit_flags,audit_status,evidence_basis
1,성수,요가파이어,서울 마포구 성암로 215 1층 전자담배,010-2208-1078,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,트렌드/대학가,17.30,P1,Wave 1,36,Batch 2,"score 17.3, tier1 area, message_type1, official source",37,01022081078,010-2208-1078,mobile_010,area_address_mismatch,review_needed,official_locator; map_link; notes
1,성수,베이프랩 성수점,서울 성동구 동일로 173 1층,010-7739-2839,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 트렌드 상권,5,4,5,14,A,1,미접촉,,동일로점 기준 공개 웹 검색 기반 초안; 동일 연락처 중복 병합: 베이프랩 왕십리 | 서울 성동구 왕십리 / 성수멀티샵 왕십리 | 서울 성동구 왕십리,yes,linked_source,merged_dup_history,트렌드/대학가,16.30,P1,Wave 1,73,Batch 2,"score 16.3, tier1 area, message_type1, linked source, flags:merged_dup_history",74,01077392839,010-7739-2839,mobile_010,cleanup:merged_dup_history,review_needed,linked_source; map_link; notes; cleanup_flags:merged_dup_history
1,홍대/합정/상수,몬스터즈베이프 홍대,서울 마포구 서교동,010-9725-5262,,,,,전자담배 전문점,홍대 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,76,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",77,01097255262,010-9725-5262,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,홍대/합정/상수,스타브론즈 홍대,서울 마포구 동교로 201 건영빌딩 B1,010-6528-7501,,,,,전자담배 전문점,홍대 상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,77,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",78,01065287501,010-6528-7501,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,홍대/합정/상수,홍대전자담배,서울 마포구 서교동,010-5160-0986,,,,,전자담배 전문점,홍대 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,78,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",79,01051600986,010-5160-0986,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,삼성/코엑스,삼성역전자담배,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 1동 301호,010-2816-5801,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,삼성역 인접,4,4,5,13,A,2,미접촉,,기존 02 대신 공개 웹 검색상 확인된 010 번호 반영; 동일 연락처 중복 병합: 마샤 베이프 대치동점 | 서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 301호,yes,linked_source,merged_dup_history,코어 오피스/상업권,14.90,P2,Wave 2,119,Batch 5,"score 14.9, tier1 area, linked source, flags:merged_dup_history",120,01028165801,010-2816-5801,mobile_010,cleanup:merged_dup_history,review_needed,linked_source; map_link; notes; cleanup_flags:merged_dup_history
1,삼성/코엑스,삼성전자담배 삼성동점,서울 강남구 삼성로 517 채널리저브 지하109호,010-3239-0208,,,,,전자담배 전문점,삼성역 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,120,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",121,01032390208,010-3239-0208,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,신논현/논현,도깨비전자담배 강남구청점,서울 강남구 논현동,010-5149-8765,,,,,전자담배 전문점,강남구청 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,121,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",122,01051498765,010-5149-8765,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,신논현/논현,야옹이 전자담배 논현점,서울 강남구 언주로 604 지1층 111호,010-6259-5397,,,,,전자담배 전문점,논현/강남구청 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,122,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",123,01062595397,010-6259-5397,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,신논현/논현,지포앤퍼프 논현,서울 강남구 논현동,010-9166-5953,,,,,전자담배 전문점,논현 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,123,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",124,01091665953,010-9166-5953,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,역삼/선릉,강남전자담배프라자 대치점,서울 강남구 대치동,010-6229-6662,,,,,전자담배 전문점,대치 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,124,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",125,01062296662,010-6229-6662,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,역삼/선릉,강남핫딜전자담배,서울 강남구 역삼동,010-6237-4242,,,,,전자담배 전문점,역삼 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,125,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",126,01062374242,010-6237-4242,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,역삼/선릉,베리베리 역삼,서울 강남구 역삼동,010-8931-0753,,,,,전자담배 전문점,역삼 오피스상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,126,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",127,01089310753,010-8931-0753,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
1,역삼/선릉,비원베이프,서울 강남구 역삼동,010-8222-8333,,,,,전자담배 전문점,역삼 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,127,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",128,01082228333,010-8222-8333,mobile_010,cleanup:draft_only|draft_provenance_only|missing_map_link,review_needed,web_search_draft; notes; cleanup_flags:draft_only
