priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason,audit_status,audit_flags,evidence_basis,row_number,phone_type,send_bucket,action_priority
1,강남역,강남 전자담배,,0507-1309-5428,https://pcmap.place.naver.com/place/35807109/home,,,,전자담배 전문점,강남역 네이버 검색 검증,5,4,5,14,A,1,미접촉,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요),yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,9,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,강남역,강남 전자담배,,0507-1427-7962,https://pcmap.place.naver.com/place/1441492694/home,,,,전자담배 전문점,강남역 네이버 검색 검증,5,4,5,14,A,1,미접촉,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요),yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,10,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,신논현/논현,하카 강남 논현동직영점,서울 강남구 학동로6길 8 1층,0507-1444-2161,https://pcmap.place.naver.com/place/1651759515/home,,,,전자담배 전문점,신논현/논현 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 round2 2026-04-10 · query=학동역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,21,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,신논현/논현,하카 강남 언주역직영점,서울 강남구 봉은사로 232 1층,0507-1303-2161,https://pcmap.place.naver.com/place/1058826065/home,,,,전자담배 전문점,신논현/논현 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,22,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,신논현/논현,하카 강남 학동역직영점,서울 강남구 논현로 648 1층 101호,0507-1340-2161,https://pcmap.place.naver.com/place/1374572765/home,,,,전자담배 전문점,신논현/논현 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,23,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,역삼/선릉,제로전자담배 역삼점,서울 강남구 봉은사로30길 74 1층,0507-1353-7061,https://pcmap.place.naver.com/place/1281534597/home,,,,전자담배 전문점,역삼/선릉 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,33,Batch 1,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,강남역,강남 전자담배,,0507-1313-2289,,,,,전자담배 전문점,강남역 네이버 검색 검증,5,4,5,14,A,1,미접촉,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요),yes,web_search_draft,,코어 오피스/상업권,16.10,P1,Wave 1,38,Batch 1,"score 16.1, tier1 area, message_type1",not_audited,,,,business_0507,audit_first,C_audit
1,건대입구,GVAPE,서울 광진구 아차산로51길 67 1층 101호 GVAPE,0507-1471-9040,https://pcmap.place.naver.com/place/1875891922/home,,,,전자담배 전문점,건대입구 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=구의 전자담배,yes,linked_source,,트렌드/대학가,16.80,P1,Wave 1,55,Batch 2,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,건대입구,공간베이프,서울 광진구 뚝섬로 618 1층,0507-1358-4749,https://pcmap.place.naver.com/place/1951066467/home,,,,전자담배 전문점,건대입구 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=구의 전자담배,yes,linked_source,,트렌드/대학가,16.80,P1,Wave 1,56,Batch 2,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
1,건대입구,구의전자담배 할인마트,서울 광진구 아차산로 399 1층,0507-1334-7029,https://pcmap.place.naver.com/place/1545474685/home,,,,전자담배 전문점,건대입구 네이버 검색 롱테일 검증,5,4,5,14,A,1,미접촉,,네이버 검색 롱테일 확장 2026-04-10 · query=구의 전자담배,yes,linked_source,,트렌드/대학가,16.80,P1,Wave 1,57,Batch 2,"score 16.8, tier1 area, message_type1, linked source",not_audited,,,,business_0507,audit_first,C_audit
