priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason,audit_status,audit_flags,evidence_basis,row_number,phone_type,send_bucket,action_priority
1,성수,요가파이어,서울 마포구 성암로 215 1층 전자담배,010-2208-1078,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,트렌드/대학가,17.30,P1,Wave 1,43,Batch 2,"score 17.3, tier1 area, message_type1, official source",review_needed,area_address_mismatch,official_locator; map_link; notes,37,mobile_010,review_first,B_review
1,성수,베이프랩 성수점,서울 성동구 동일로 173 1층,010-7739-2839,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 트렌드 상권,5,4,5,14,A,1,미접촉,,동일로점 기준 공개 웹 검색 기반 초안; 동일 연락처 중복 병합: 베이프랩 왕십리 | 서울 성동구 왕십리 / 성수멀티샵 왕십리 | 서울 성동구 왕십리,yes,linked_source,merged_dup_history,트렌드/대학가,16.30,P1,Wave 1,95,Batch 2,"score 16.3, tier1 area, message_type1, linked source, flags:merged_dup_history",review_needed,cleanup:merged_dup_history,linked_source; map_link; notes; cleanup_flags:merged_dup_history,74,mobile_010,review_first,B_review
1,홍대/합정/상수,몬스터즈베이프 홍대,서울 마포구 서교동,010-9725-5262,,,,,전자담배 전문점,홍대 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,98,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,77,mobile_010,review_first,B_review
1,홍대/합정/상수,스타브론즈 홍대,서울 마포구 동교로 201 건영빌딩 B1,010-6528-7501,,,,,전자담배 전문점,홍대 상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,99,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,78,mobile_010,review_first,B_review
1,홍대/합정/상수,홍대전자담배,서울 마포구 서교동,010-5160-0986,,,,,전자담배 전문점,홍대 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,15.70,P1,Wave 1,100,Batch 2,"score 15.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,79,mobile_010,review_first,B_review
1,삼성/코엑스,삼성역전자담배,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 1동 301호,010-2816-5801,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,삼성역 인접,4,4,5,13,A,2,미접촉,,기존 02 대신 공개 웹 검색상 확인된 010 번호 반영; 동일 연락처 중복 병합: 마샤 베이프 대치동점 | 서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 301호,yes,linked_source,merged_dup_history,코어 오피스/상업권,14.90,P2,Wave 2,155,Batch 5,"score 14.9, tier1 area, linked source, flags:merged_dup_history",review_needed,cleanup:merged_dup_history,linked_source; map_link; notes; cleanup_flags:merged_dup_history,120,mobile_010,review_first,B_review
1,삼성/코엑스,삼성전자담배 삼성동점,서울 강남구 삼성로 517 채널리저브 지하109호,010-3239-0208,,,,,전자담배 전문점,삼성역 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,156,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,121,mobile_010,review_first,B_review
1,신논현/논현,도깨비전자담배 강남구청점,서울 강남구 논현동,010-5149-8765,,,,,전자담배 전문점,강남구청 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,157,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,122,mobile_010,review_first,B_review
1,신논현/논현,야옹이 전자담배 논현점,서울 강남구 언주로 604 지1층 111호,010-6259-5397,,,,,전자담배 전문점,논현/강남구청 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,158,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,123,mobile_010,review_first,B_review
1,신논현/논현,지포앤퍼프 논현,서울 강남구 논현동,010-9166-5953,,,,,전자담배 전문점,논현 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,14.70,P2,Wave 2,159,Batch 5,"score 14.7, tier1 area, message_type1, flags:draft_only",review_needed,cleanup:draft_only|draft_provenance_only|missing_map_link,web_search_draft; notes; cleanup_flags:draft_only,124,mobile_010,review_first,B_review
