area,query,store_name,phone,address,map_link,place_id,notes
강서/마곡,가양역 전자담배,시가톱텐,0507-1302-3226,서울 강서구 화곡로68길 15 아벨테크노지식산업센터 606호,https://pcmap.place.naver.com/place/1559564679/home,1559564679,네이버 플레이스 검색 스니펫 기준 신규 확보 (가양역 전자담배)
강서/마곡,마곡나루역 전자담배,마곡너구리굴전자담배 본점,0507-1310-4027,서울 강서구 마곡중앙로 161-17 보타닉타워1 지하1층 108호,https://pcmap.place.naver.com/place/1652032967/home,1652032967,네이버 플레이스 검색 스니펫 기준 신규 확보 (마곡나루역 전자담배)
강서/마곡,마곡나루역 전자담배,차이코스몰,0507-1313-4027,서울 강서구 마곡중앙로 161-17 B1 108호,https://pcmap.place.naver.com/place/1625935430/home,1625935430,네이버 플레이스 검색 스니펫 기준 신규 확보 (마곡나루역 전자담배)
강서/마곡,마곡나루역 전자담배,캐츠베이핑,0507-1388-7255,서울 강서구 마곡중앙5로 6 227호,https://pcmap.place.naver.com/place/1269352635/home,1269352635,네이버 플레이스 검색 스니펫 기준 신규 확보 (마곡나루역 전자담배)
강서/마곡,방화역 전자담배,로얄타바코전자담배 방화점,0507-1319-9502,서울 강서구 방화동로 126 삼정코아(상가) 1층 163호 로얄전자담배 방화점,https://pcmap.place.naver.com/place/35394795/home,35394795,네이버 플레이스 검색 스니펫 기준 신규 확보 (방화역 전자담배)
강서/마곡,방화역 전자담배,마곡점빵,0507-1405-5489,서울 강서구 마곡서1로 100 603동 상가 107호,https://pcmap.place.naver.com/place/2094845369/home,2094845369,네이버 플레이스 검색 스니펫 기준 신규 확보 (방화역 전자담배)
강서/마곡,화곡역 전자담배,보루 우장산역점,0507-1394-5712,서울 강서구 강서로45길 28 107호,https://pcmap.place.naver.com/place/1883635045/home,1883635045,네이버 플레이스 검색 스니펫 기준 신규 확보 (화곡역 전자담배)
구로디지털단지/금천,가산디지털단지역 전자담배,마크전자담배 금천구 가산점,0507-1353-3375,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동 109호 마크전자담배,https://pcmap.place.naver.com/place/1068177509/home,1068177509,네이버 플레이스 검색 스니펫 기준 신규 확보 (가산디지털단지역 전자담배)
구로디지털단지/금천,구로디지털단지역 전자담배,전자담배 구로디지털점,0507-1401-5336,서울 구로구 디지털로32나길 38,https://pcmap.place.naver.com/place/36305256/home,36305256,네이버 플레이스 검색 스니펫 기준 신규 확보 (구로디지털단지역 전자담배)
구로디지털단지/금천,독산역 전자담배,키츠베이프,0507-1317-9378,서울 금천구 벚꽃로 234 에이스하이엔드타워6차 101호 키츠베이프전자담배,https://pcmap.place.naver.com/place/1652883555/home,1652883555,네이버 플레이스 검색 스니펫 기준 신규 확보 (독산역 전자담배)
노원/수유/도봉,노원역 전자담배,전담이지 노원점,0507-1383-4578,서울 노원구 노해로 491 1층,https://pcmap.place.naver.com/place/2076146814/home,2076146814,네이버 플레이스 검색 스니펫 기준 신규 확보 (노원역 전자담배)
