area,query,store_name,phone,address,map_link,review_status,evidence,notes
강서/마곡,가양역 전자담배,전담스팟 가양역점,,서울 강서구 양천로 492 1층 전담스팟,https://pcmap.place.naver.com/place/2021165736/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,가양역 전자담배,하카코리아 강서 가양점,,서울 강서구 화곡로68길 33 라인아파트 상가동 1층 108호,https://pcmap.place.naver.com/place/13530501/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,마곡나루역 전자담배,릴 미니멀리움 마곡점,080-931-0399,서울 강서구 마곡중앙로 105-7 3동 1층 104~105호,https://pcmap.place.naver.com/place/2090173632/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,마곡나루역 전자담배,전담GATE 마곡나루역점,070-7959-5317,서울 강서구 마곡중앙로 161-11 1층 에이-118호,https://pcmap.place.naver.com/place/2049470751/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,발산역 전자담배,원더베이프 전자담배,02-6421-9080,서울 강서구 공항대로 247 퀸즈파크나인 C동 150호,https://pcmap.place.naver.com/place/1643697687/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,발산역 전자담배,전담GATE 발산점,1688-9216,서울 강서구 강서로 385 1층 122호,https://pcmap.place.naver.com/place/1985572982/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,우장산역 전자담배,하카전자담배 화곡역점,02-2607-0074,서울 강서구 강서로 150,https://pcmap.place.naver.com/place/35877840/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
강서/마곡,화곡역 전자담배,하카전자담배 화곡역점,02-2607-0074,서울 강서구 강서로 150,https://pcmap.place.naver.com/place/35877840/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,가산디지털단지역 전자담배,래빗베이프 가산점,,서울 금천구 가산디지털1로 181 1층 115-1호 래빗베이프 전자담배 가산점,https://pcmap.place.naver.com/place/1497824566/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,가산디지털단지역 전자담배,위베이프 전자담배 가산점,070-8670-1454,서울 금천구 디지털로9길 65 백상스타타워 1차 1층 102호,https://pcmap.place.naver.com/place/1452317713/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,가산디지털단지역 전자담배,전담GATE 가산디지털단지역점,070-7963-8299,서울 금천구 가산디지털1로 168 제에이1층 116호,https://pcmap.place.naver.com/place/2063330024/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,구로디지털단지역 전자담배,구로전자담배 샤파밍기샵,,서울 구로구 도림천로 446 예성유토피아 101동 104호 구로전자담배 샤파밍기,https://pcmap.place.naver.com/place/35506904/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,금천구청역 전자담배,돛대전자담배멀티샵 현대시장점,,서울 금천구 독산로35길 32,https://pcmap.place.naver.com/place/36609855/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,금천구청역 전자담배,뭉게뭉게,070-4278-5345,서울 금천구 시흥대로63길 18 1층,https://pcmap.place.naver.com/place/1512132772/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,금천구청역 전자담배,베이프린 전자담배,02-802-7778,서울 금천구 독산로 187 1층,https://pcmap.place.naver.com/place/1104681932/home,non_sms_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
구로디지털단지/금천,금천구청역 전자담배,전자담배액상,0507-1361-7367,서울 금천구 시흥대로73길 67 13층 1303-6호,https://pcmap.place.naver.com/place/1625388819/home,ambiguous_name_or_missing_phone,네이버 플레이스 검색 스니펫,010/0507 미확인 또는 상호 애매
