area,store_name,phone,address,map_link,notes
강남역,강남 전자담배,0507-1309-5428,,https://pcmap.place.naver.com/place/35807109/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
강남역,강남 전자담배,0507-1313-2289,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
강남역,강남 전자담배,0507-1427-7962,,https://pcmap.place.naver.com/place/1441492694/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
강서/마곡,강서 전자담배,0507-1349-3541,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
강서/마곡,강서 전자담배,0507-1377-9071,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
구로디지털단지,구로 전자담배,0507-1374-3730,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
구로디지털단지,구로 전자담배,0507-1438-7894,,https://pcmap.place.naver.com/place/2078991926/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
금호/약수/옥수,금호 전자담배,0507-1349-3646,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
금호/약수/옥수,금호 전자담배,0507-1472-2225,,https://pcmap.place.naver.com/place/35948874/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
노원,노원 전자담배,0507-1363-0964,,https://pcmap.place.naver.com/place/2063793672/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
노원,노원 전자담배,0507-1366-6482,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
노원,노원 전자담배,0507-1383-8958,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
노원,노원 전자담배,0507-1471-1215,,https://pcmap.place.naver.com/place/2052284846/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
노원,노원 전자담배,0507-1473-7746,,https://pcmap.place.naver.com/place/1324436545/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
도봉/창동,도봉 전자담배,0507-1364-8697,,https://pcmap.place.naver.com/place/2085884562/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
사당/방배,사당 전자담배,0507-1369-5476,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
사당/방배,사당 전자담배,0507-1412-1162,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1345-2946,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1366-3187,,https://pcmap.place.naver.com/place/1546221983/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1388-2162,,https://pcmap.place.naver.com/place/2046313062/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1481-2469,,https://pcmap.place.naver.com/place/1247926398/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1489-3790,,https://pcmap.place.naver.com/place/2089343457/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서대문/홍제,서대문홍제 전자담배,0507-1498-8791,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
서초/양재,서초 전자담배,0507-1384-8833,,https://pcmap.place.naver.com/place/2055669769/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
신림,신림 전자담배,0507-1333-2430,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
신림,신림 전자담배,0507-1342-9365,,https://pcmap.place.naver.com/place/1241162833/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
신림,신림 전자담배,0507-1397-1081,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
은평/연신내,연신내 전자담배,0507-1416-7782,,https://pcmap.place.naver.com/place/13543727/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
은평/연신내,연신내 전자담배,0507-1446-5100,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
종로/을지로/충무로,종로 전자담배,0507-1303-4241,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
종로/을지로/충무로,종로 전자담배,0507-1379-5232,,https://pcmap.place.naver.com/place/2081097508/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
