no,phone,store_name,decoded_store_name,address,area_or_district,map_or_source_url,source_file,notes,verdict,reason,evidence_url,evidence_note
1,010-2048-1550,베이프스트릿,베이프스트릿,서울 강남구 압구정로20길 15 (신사동) 1층 103-2호,압구정/청담,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,vape_send_ready_final_2026-04-13_804.csv,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09,VERIFIED_KEEP,공식 로케이터 URL 확인,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 로케이터 URL
2,010-2055-9766,전자담배연구소,전자담배연구소,서울 강서구 까치산로 114 (화곡동) 1층 전자담배연구소,강서/마곡,https://m.martha-vape.com/bs21/layout/map_store2.html,vape_send_ready_final_2026-04-13_804.csv,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,VERIFIED_KEEP,공식 로케이터 URL 확인,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 로케이터 URL
3,010-2061-0244,베이프쥬 강동점,베이프쥬 강동점,서울 강동구 천호대로 1116,천호/강동,,vape_kakao_sweep_additions_2026-04-14.csv,,VERIFIED_KEEP,KakaoMap 스윕 + 전담 관련 상호명,,Kakao 스윕
4,010-2061-3232,자담체인지 양평동,자담체인지 양평동,서울 영등포구 양평동1가,영등포/문래,,vape_send_ready_final_2026-04-13_804.csv,공개 웹 검색 기반 초안,VERIFIED_KEEP,804 메인 baseline + 전담 관련 상호 (네이버 검색),,804 baseline (네이버 검색)
5,010-2079-6068,커먼 전자담배 을지로점,커먼 전자담배 을지로점,서울 중구 수표로 48-7 홍일빌딩 102호,종로/을지로/충무로,,vape_send_ready_final_2026-04-13_804.csv,공개 웹 검색 기반 초안,VERIFIED_KEEP,804 메인 baseline + 전담 관련 상호 (네이버 검색),,804 baseline (네이버 검색)
6,010-2086-3404,잠실전자담배 베이프갱스터,잠실전자담배 베이프갱스터,서울 송파구 백제고분로7길 49 1층105호,잠실/송리단길,,vape_send_ready_final_2026-04-13_804.csv,공개 웹 검색 기반 초안,VERIFIED_KEEP,804 메인 baseline + 전담 관련 상호 (네이버 검색),,804 baseline (네이버 검색)
7,010-2093-8783,노량진전자담배,노량진전자담배,서울 동작구 만양로 40 1층,사당/방배,,vape_send_ready_final_2026-04-13_804.csv,공개 웹 검색 기반 초안,VERIFIED_KEEP,804 메인 baseline + 전담 관련 상호 (네이버 검색),,804 baseline (네이버 검색)
8,010-2103-7386,베이프클럽,베이프클럽,서울 동대문구 이문로 31 1층 전자담배,동대문/청량리,https://m.martha-vape.com/bs21/layout/map_store2.html,vape_send_ready_final_2026-04-13_804.csv,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,VERIFIED_KEEP,공식 로케이터 URL 확인,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 로케이터 URL
9,010-2123-2848,콤마베이프 합정,콤마베이프 합정,서울 마포구 합정동,홍대/합정/상수,,vape_send_ready_final_2026-04-13_804.csv,공개 웹 검색 기반 초안,VERIFIED_KEEP,804 메인 baseline + 전담 관련 상호 (네이버 검색),,804 baseline (네이버 검색)
10,010-2133-5722,베이프스트릿 신사점,베이프스트릿 신사점,서울 강남구 압구정로20길 15,강남역,,vape_kakao_sweep_additions_2026-04-14.csv,,VERIFIED_KEEP,KakaoMap 스윕 + 전담 관련 상호명,,Kakao 스윕
