priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason
1,강남역,킹콩전자담배 강남역점,서울 강남구 강남대로 390 미진프라자 지하1층,010-5127-1225,,,,,전자담배 전문점,유동인구 높음,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요,yes,web_search_draft,phone_check,코어 오피스/상업권,14.60,HOLD,HOLD,532,Cleanup A,"score 14.6, tier1 area, message_type1, flags:phone_check"
1,강남역,강남역전자담배프라자,서울 강남구 강남대로84길 23 2층 207-2호,010-4933-1901,,,,,전자담배 전문점,강남역 메인상권,5,4,5,14,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요,yes,web_search_draft,phone_check,코어 오피스/상업권,14.20,HOLD,HOLD,533,Cleanup A,"score 14.2, tier1 area, flags:phone_check"
1,강남역,큐브전자담배,서울 강남구 강남대로66길 14 와이즈플레이스 1층,010-9296-3638,,,,,전자담배 전문점,강남역 메인상권,5,4,5,14,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요,yes,web_search_draft,phone_check,코어 오피스/상업권,14.20,HOLD,HOLD,534,Cleanup A,"score 14.2, tier1 area, flags:phone_check"
1,강남역,베이프스트릿 강남점,서울 강남구 강남대로 438 2층 212호,010-3389-5115,,,,,전자담배 전문점,강남대로 대로변,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요; 동일 연락처 중복 병합: 베이프스트릿 신사점 | 서울 강남구 압구정로20길 15 103-2호,yes,web_search_draft,phone_check|merged_dup_history,코어 오피스/상업권,14.10,HOLD,HOLD,535,Cleanup A,"score 14.1, tier1 area, message_type1, flags:phone_check|merged_dup_history"
1,역삼/선릉,원더베이프 강남 서브,서울 강남구 역삼동,010-6809-5115,,,,,전자담배 전문점,역삼 상권,4,4,5,13,A,1,미접촉,,원더베이프 강남 번호 다름. 별도 매장 가능성,yes,web_search_draft,identity_risk,코어 오피스/상업권,13.60,HOLD,HOLD,536,Cleanup A,"score 13.6, tier1 area, message_type1, flags:identity_risk"
1,강남역,마샤 베이프,서울 서초구 강남대로65길 12 한서그린빌리지 101호,010-7460-3550,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,강남역 인접,5,3,4,12,A,3,미접촉,,기존 02 번호 대신 공개 웹 검색상 확인된 010 번호로 교체. 상호 표기 재확인 권장,yes,linked_source,manual_review,코어 오피스/상업권,12.90,HOLD,HOLD,537,Cleanup A,"score 12.9, tier1 area, linked source, flags:manual_review"
1,강남역,원더베이프 강남,서울 강남구 테헤란로4길 46 114호,010-9121-1852,,,,,전자담배 전문점,역삼-강남 연결축,4,4,4,12,A,2,미접촉,,공개 웹 검색 기반 초안. 전화 확인 필요,yes,web_search_draft,phone_check,코어 오피스/상업권,12.20,HOLD,HOLD,538,Cleanup A,"score 12.2, tier1 area, flags:phone_check"
2,왕십리/한양대,아이다 성동왕십리점,서울 성동구 왕십리,010-5573-2056,,,,,전자담배 전문점,왕십리 상권,3,4,5,12,A,1,미접촉,,성수 아이다성동점과 동일 번호 가능성. 재확인 필요; 동일 연락처 중복 병합: 아이다 성동점 | 서울 성동구 성수동,yes,web_search_draft,manual_review|merged_dup_history,트렌드/대학가,11.80,HOLD,HOLD,539,Cleanup B,"score 11.8, message_type1, flags:manual_review|merged_dup_history"
3,신촌/이대,신촌전자담배프라자,서울 서대문구 신촌,010-5165-3883,,,,,전자담배 전문점,신촌 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,트렌드/대학가,10.60,HOLD,HOLD,540,Cleanup B,"score 10.6, message_type1, flags:address_check|manual_review"
3,신촌/이대,이대전자담배,서울 서대문구 이대역 주변,010-3202-9410,,,,,전자담배 전문점,이대 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,트렌드/대학가,10.60,HOLD,HOLD,541,Cleanup B,"score 10.6, message_type1, flags:address_check|manual_review"
3,신촌/이대,이대전자담배멀티샵,서울 서대문구 대현동 이대역 인근,010-9413-2388,,,,,전자담배 전문점,이대 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,트렌드/대학가,10.60,HOLD,HOLD,542,Cleanup B,"score 10.6, message_type1, flags:address_check|manual_review"
2,영등포/문래,전자담배성지 영등포점,서울 영등포구 영등포동,0507-1304-3220,,,,,전자담배 전문점,영등포 상권,3,4,5,12,A,2,미접촉,,스마트콜 번호,yes,web_search_draft,identity_risk,혼합 고회전 상권,11.40,HOLD,HOLD,543,Cleanup C,"score 11.4, flags:identity_risk"
3,구로디지털단지,구이전자담배 독산,서울 금천구 시흥대로 주변,010-7163-0223,,,,,전자담배 전문점,독산 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,혼합 고회전 상권,10.60,HOLD,HOLD,544,Cleanup C,"score 10.6, message_type1, flags:address_check|manual_review"
2,은평/연신내,엔드퍼프 연신내점,서울 은평구 연신내,010-8739-4784,https://end-puff.com/bs21/layout/map_all2.html,,,,전자담배 전문점,연신내 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,linked_source,address_check|manual_review,확장/생활상권,12.00,HOLD,HOLD,545,Cleanup D,"score 12.0, message_type1, linked source, flags:address_check|manual_review"
3,목동/오목교,마샤 베이프 목동점,서울 양천구 목동,010-8869-8926,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,목동 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,linked_source,address_check|manual_review,확장/생활상권,11.30,HOLD,HOLD,546,Cleanup D,"score 11.3, message_type1, linked source, flags:address_check|manual_review"
3,강서/마곡,웨스트베이프 마곡중앙,서울 강서구 마곡중앙6로 65,010-4075-3666,,,,,전자담배 전문점,마곡 오피스상권,3,4,5,12,A,1,미접촉,,웨스트베이프 마곡 번호 동일. 주소 다름. 재확인 필요; 동일 연락처 중복 병합: 웨스트 베이프 마곡 | 서울 강서구 마곡동,yes,web_search_draft,manual_review|merged_dup_history,확장/생활상권,11.10,HOLD,HOLD,547,Cleanup D,"score 11.1, message_type1, flags:manual_review|merged_dup_history"
3,강서/마곡,마곡전자담배강서발산역점,서울 강서구 발산,010-3711-0227,,,,,전자담배 전문점,마곡/발산 상권,3,4,5,12,A,2,미접촉,,02-2658-8585도 공개됨. 010은 부대표 번호로 보임,yes,web_search_draft,identity_risk,확장/생활상권,10.70,HOLD,HOLD,548,Cleanup D,"score 10.7, flags:identity_risk"
3,강서/마곡,강서구전자담배,서울 강서구 화곡동,010-2833-7172,,,,,전자담배 전문점,화곡 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,확장/생활상권,10.60,HOLD,HOLD,549,Cleanup D,"score 10.6, message_type1, flags:address_check|manual_review"
3,동대문/청량리,청량리 전자담배 멀티샵,서울 동대문구 청량리,010-5819-7007,,,,,전자담배 전문점,청량리 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,확장/생활상권,10.60,HOLD,HOLD,550,Cleanup D,"score 10.6, message_type1, flags:address_check|manual_review"
3,수유/미아,미아 드루와 삼양점,서울 강북구 미아동,010-8877-0898,,,,,전자담배 전문점,미아 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안. 주소 재확인 필요,yes,web_search_draft,address_check|manual_review,확장/생활상권,10.60,HOLD,HOLD,551,Cleanup D,"score 10.6, message_type1, flags:address_check|manual_review"
